your yours
terrorise terrorised terrorising
proportion proportioned
sideswipe sideswiped
transfuse transfused transfusing
zonk zonked
cheese cheesed
discolor discolored
squirrel squirreled squirreling
jeopardise jeopardised jeopardising
bead beaded beading
cell celled
trademark trademarked
bedazzle bedazzled bedazzling
disassemble disassembled
engorge engorged
localise localised
reestablish reestablished reestablishing
conjoin conjoined
whore whored whoring
alphabetize alphabetized alphabetizing
ring ringed
caramelize caramelized caramelizing
flabbergast flabbergasted
realign realigned realigning
bin binned
redefine redefined redefining
repute reputed
tongue tongued
bilk bilked bilking
overpopulate overpopulated
synchronise synchronised
defrock defrocked
transect transected transecting
roust rousted rousting
equal equaled
euthanize euthanized euthanizing
fess fessed
recess recessed
prioritize prioritized prioritizing
vaporise vaporised
destabilize destabilized destabilizing
personalise personalised
outplay outplayed
tranquilize tranquilized tranquilizing
bonk bonked bonking
mace maced
mobilise mobilised mobilising
calcify calcified calcifying
letter lettered lettering
upholster upholstered
premiere premiered premiering
interface interfaced interfacing
ingrain ingrained
steamroll steamrolled steamrolling
disembowel disemboweled disemboweling
reposition repositioned repositioning
becalm becalmed
commercialize commercialized
tube tubed
attire attired
tattle tattled tattling
occlude occluded
airbrush airbrushed
zag zagged zagging
tent tented
initialize initialized initializing
colonise colonised colonising
lube lubed
pigeonhole pigeonholed
dishearten disheartened
bifurcate bifurcated
wad wadded
cache cached
mothball mothballed mothballing
turbocharge turbocharged
focus focussed focussing
computerise computerised
outmaneuver outmaneuvered
reclassify reclassified
sequence sequenced sequencing
eff effed
resource resourced
crater cratered cratering
bike biked biking
psychoanalyze psychoanalyzed psychoanalyzing
immobilise immobilised
shortchange shortchanged
parlay parlayed
demonize demonized
underwhelm underwhelmed
exfoliate exfoliated
mesmerise mesmerised
reinvigorate reinvigorated
monogram monogrammed
reshape reshaped reshaping
marvel marveled marveling
invalid invalided
bushwhack bushwhacked
mat matted
muss mussed
decompress decompressed decompressing
institutionalise institutionalised
format formatted
fame famed
downplay downplayed downplaying
revel reveled reveling
grift grifted grifting
resect resected resecting
skedaddle skedaddled
redhead redheaded
reintroduce reintroduced reintroducing
enmesh enmeshed
garrot garroted garroting
pooh poohed
fertilise fertilised
program programed programing
slather slathered
gyp gypped
grovel groveled groveling
backpack backpacked backpacking
panel paneled
synthesis synthesised
tab tabbed
gridlock gridlocked
revolutionise revolutionised
beard bearded
rehydrate rehydrated rehydrating
micromanage micromanaged micromanaging
denature denatured
miniaturise miniaturised
groove grooved
finesse finessed
cinch cinched
overstock overstocked
remortgage remortgaged
pressurise pressurised pressurising
waterlog waterlogged
cauterise cauterised
carbonate carbonated
shuck shucked shucking
fantasise fantasised
reintegrate reintegrated
pedal pedaled pedaling
utilise utilised utilising
enrapture enraptured
prerecord prerecorded
preempt preempted preempting
ionize ionized ionizing
reawaken reawakened
invigorate invigorated invigorating
refuel refueled refueling
binge binged binging
fossilise fossilised
crisscross crisscrossed crisscrossing
jackknife jackknifed
headhunt headhunted
quilt quilted
victimise victimised
immortalise immortalised
digitise digitised
cape caped
crystallise crystallised
geld gelded gelding
garble garbled
suborn suborned suborning
outdate outdated
texture textured
eagle eagled
deuce deuced
whale whaled whaling
finalise finalised
characterise characterised
spiff spiffed
replant replanted replanting
theorise theorised
energise energised
broadside broadsided
benefit benefitted benefitting
ostracise ostracised
anguish anguished
scallop scalloped
schlep schlepped schlepping
disembody disembodied
refocus refocused refocusing
itemise itemised
gentrify gentrified
magnetise magnetised
deconstruct deconstructed deconstructing
unscramble unscrambled
premeditate premeditated
holster holstered
tit titted
rappel rappelled rappelling
patronise patronised patronising
hypothesize hypothesized
reuse reused reusing
headbutt headbutted
reallocate reallocated
pulverise pulverised
randomise randomised
befoul befouled
imbalance imbalanced
parent parented
fellate fellated
decriminalize decriminalized
callus callused
chest chested
outpace outpaced
snack snacked snacking
segue segued
warehouse warehoused
reseal resealed
blag blagged
socialise socialised socialising
finagle finagled
jigger jiggered
hybridize hybridized
molt molted molting
renegotiate renegotiated renegotiating
brutalise brutalised
depressurize depressurized
homogenize homogenized
critique critiqued critiquing
optimize optimized optimizing
dissatisfy dissatisfied
refinance refinanced refinancing
reapply reapplied
unclog unclogged
purée puréed
legalise legalised
renown renowned
whiff whiffed
nark narked
prolapse prolapsed
souse soused
indenture indentured
remaster remastered
chamber chambered
honeycomb honeycombed
actualize actualized
prioritise prioritised prioritising
hash hashed hashing
shortlist shortlisted
preordain preordained
plateau plateaued
destabilise destabilised
upturn upturned
polarise polarised
scroll scrolled scrolling
lactate lactated lactating
scrutinise scrutinised
prang pranged
emaciate emaciated
summer summered summering
helicopter helicoptered
generalise generalised
spam spammed
shimmy shimmied shimmying
ionise ionised
sunder sundered
commingle commingled
agonise agonised
fringe fringed
mythologize mythologized
meet meeting
understand understanding
age aging
boat boating
trend trending
smolder smoldering
golf golfing
bald balding
queue queuing
signal signaling
breastfeed breastfeeding
blather blathering
neighbor neighboring
scintillate scintillating
stipple stippling
retrain retraining
profiteer profiteering
feck fecking
snowboard snowboarding
piggyback piggybacking
kayak kayaking
blither blithering
message messaging
hydrate hydrating
outsource outsourcing
sod sodding
moisturize moisturizing
fraternise fraternising
careen careening
skydive skydiving
clomp clomping
gig gigging
mainstream mainstreaming
panhandle panhandling
snorkel snorkeling
reoccur reoccurring
boff boffing
raft rafting
philander philandering
meow meowing
kowtow kowtowing
bloat bloating
primp primping
ranch ranching
chitchat chitchatting
showboat showboating
deejay deejaying
conjugate conjugating
gestate gestating
crest cresting
sashay sashaying
reprocess reprocessing
roil roiling
litigate litigating
redline redlining
toady toadying
accessorize accessorizing
tailgate tailgating
yodel yodeling
playact playacting
tweeze tweezing
adventure adventuring
jaywalk jaywalking
mewl mewling
fibrillate fibrillating
perfuse perfusing
backpedal backpedaling
freeload freeloading
tromp tromping
sensationalize sensationalizing
stargaze stargazing
wholesale wholesaling
swivel swiveling
razz razzing
cloy cloying
blub blubbing
monetize monetizing
brunch brunching
immolate immolating
boogy boogying
woodwork woodworking
reorganise reorganising
housesit housesitting
faff faffing
bog bogging
emote emoting
elute eluting
parasail parasailing
canoe canoeing
ligate ligating
rubberneck rubbernecking
reinvest reinvesting
card carding
darkle darkling
futz futzing
gray graying
bullfight bullfighting
galumph galumphing
relaunch relaunching
empathise empathising
unblock unblocking
